wte|0|-0.48656234 -0.54532784 0.29993910 0.13804362 0.24623445 0.02388176 -0.27802415 -0.54385448 -0.66928441 -0.60266547 0.67714412 -0.37929291 -0.69009941 0.20479436 -0.60559477 -1.20127425 0.25502480 -0.21162650 -0.40037556 -0.28972553 0.41021664 0.74257891 -0.27428102 -0.19557034 -0.29427247 -0.06647645 0.75643463 0.59802467 0.32458965 -0.18690041 0.05577709 0.71724047
wte|1|-0.20959563 -0.04855126 -0.07326480 0.07008098 0.05314127 -0.09752598 0.06778891 -0.08017623 -0.00689951 -0.02351198 0.00915359 0.06549090 0.05107310 0.02799081 0.05199585 0.03827936 -0.05015884 -0.05738969 -0.03759746 0.03994611 -0.02000925 0.18686034 -0.06554340 -0.08790997 0.06147788 0.11374800 0.04045542 0.06686539 0.11410760 -0.00752220 -0.11383671 -0.04256612
wte|2|0.41712964 -1.23964229 0.58795550 0.20507383 0.29549049 -0.07991990 0.36701689 0.65366896 -0.21328580 0.07775720 -0.17304196 -0.11961414 1.43897001 0.25886091 0.81938449 0.03351724 -1.36814213 -0.01233447 -0.55217464 -0.14402765 -0.13465329 0.61325730 -0.42031141 0.33873446 0.45646469 0.17049624 0.40940768 0.31377901 0.02379396 -0.34578698 0.35592427 -0.34180750
wte|3|-0.26567954 -1.21310839 0.58842175 0.22018874 0.67719760 0.14223311 0.31139508 -0.45867886 -0.11516339 0.41485890 0.16107885 0.63637269 -0.06891412 0.60325805 -0.25750779 0.09948535 0.40126831 -0.35638739 1.17460593 -0.49020413 -0.55500921 0.17702456 -0.01319011 -0.27178218 0.06713750 -0.05386286 0.30644258 -0.08124742 0.73031991 0.07908139 0.91559150 -0.09116455
wte|4|0.53779503 -1.38678484 0.24552862 0.46546784 0.04752054 -0.56879862 0.30004879 -0.79974474 0.45033674 0.69682622 -0.43341063 -0.48733790 -0.23123982 -0.59795298 0.84891727 0.34079226 -0.73604228 -0.01098267 0.90122763 -0.03418552 0.25086196 0.32140032 -0.02261688 0.05910426 -0.42225587 0.07037358 0.66550690 -0.09639289 0.02344660 0.35110935 0.40998484 1.32326663
wte|5|0.23584089 -0.64463350 -0.32652214 -0.37774042 0.07622058 0.22208456 0.58681421 -0.78351705 0.07197885 0.12246049 0.02827136 0.08270967 -0.58742447 -0.26763160 -0.50039992 -0.29169431 -0.86006472 0.33429324 0.24589955 0.24496551 0.17005777 -0.71915925 0.12146890 0.07038362 -0.51462972 0.86093197 0.75114560 0.35374534 0.15350687 -0.35128967 -0.84686966 0.33873162
wte|6|0.00022046 0.18128082 -0.14898424 0.05562271 -0.02449960 -0.00801580 0.15212712 -0.00068585 0.17927550 -0.03537184 0.02804096 -0.03926780 -0.05525504 0.00499865 -0.02260572 0.01619933 -0.16840223 0.16019742 -0.01335975 0.13943244 -0.08056897 0.02340286 0.25319537 -0.06957833 -0.11962398 -0.04372076 0.03779907 0.05546720 0.10322934 -0.02056099 -0.12818006 -0.03480238
wte|7|-0.11776944 -0.21654735 0.10325478 0.22152008 0.26222063 -0.47158810 0.46323208 0.21896938 0.23164048 -0.28633511 -0.25099098 0.54617668 -0.16825393 -0.79684884 -0.37126226 -0.83357784 0.34714622 0.25416842 -0.25211182 -0.01822719 0.11613128 -0.44001675 0.24410006 1.25134161 -0.68905291 0.20887410 -0.55105478 0.72359036 -0.24094107 0.18135843 0.04431303 0.30642986
wte|8|-0.22690421 0.21650380 0.27848245 0.37852229 0.65084058 -0.02291493 -0.07365603 -0.09018417 0.51895761 -0.86121503 -0.29062061 0.39511405 0.60333431 -0.70258146 -0.31018452 -0.61447634 0.48502139 0.12105364 0.00094197 0.70465952 0.58231808 -0.05350843 -0.41453768 0.27785624 -0.79211038 0.43164657 0.63819944 0.86717510 -0.00533447 0.43312853 0.33342260 0.61735765
wte|9|-0.01069793 0.57115020 0.58027160 -0.00730588 0.48199765 -0.49084304 0.34010566 -0.17091537 0.49388155 -0.44776587 -0.14224534 0.59427022 -0.01172034 -0.73879932 0.03735933 -0.84238052 0.15626324 0.42206961 -0.12967352 0.54496730 0.41309845 0.29376184 0.32086094 0.81700055 -0.59554063 0.41389334 -0.06306476 0.94110860 -0.61595142 0.01510656 -0.32489912 0.61474940
wte|10|-0.16485607 0.16874054 0.05630686 0.08750248 0.34316198 -0.71823980 0.06510015 0.22499817 0.23115193 -0.14958092 -0.37206934 0.37053080 0.43882513 -0.14202888 0.16056121 -0.60147805 0.13419629 -0.07713230 0.12170075 0.41029084 0.31107022 -0.51010337 0.82077219 1.00817426 -1.02973951 0.48993761 -0.16087427 0.99127451 -0.62280192 0.40223378 0.58854773 0.39806116
wte|11|0.13346827 0.56670034 0.09770581 -0.57279665 -0.05288781 0.25502758 1.28941974 0.27133094 -0.04791625 0.11320078 -0.35030719 -0.28800763 -0.20359515 0.05689263 0.45187899 0.32257443 0.65663789 0.25587378 -1.01201103 -0.22205831 -0.52312597 -0.66448377 -0.11685650 0.67178082 -0.42031545 -0.33858313 -0.78495532 0.10729641 -0.31697235 -0.25882012 -0.16801709 0.20697896
wte|12|-0.10103034 0.36864519 0.50729154 -0.30998539 0.96034325 0.50535112 0.89879295 0.37267200 -0.10926699 0.30317042 -0.05044003 -0.37209812 0.01651740 -0.42022912 0.21385855 0.55153614 -0.24276471 0.16674766 -0.26195503 1.08609912 -0.26067256 -0.53038815 -0.22888389 -0.49522024 -0.24092807 -0.60032073 0.24370211 -0.26097086 -0.39712901 0.02727843 0.41876306 -0.17501561
wte|13|-0.01492419 0.48138402 0.60683091 -0.34879099 0.04310440 0.83572521 0.46875089 0.19549423 -0.06168954 0.05350735 -0.00597086 -0.27797894 -0.09044703 -0.97257584 0.06751684 -0.51671056 0.36464755 0.24214846 0.13764584 -0.00849605 0.11974040 0.05306000 -1.02027172 0.01276772 -0.55987124 -1.09898952 -0.88203983 0.18588524 -0.18009900 0.07602392 -0.04503996 -0.21553981
wte|14|-0.05702381 0.11729361 0.06445267 -0.68266750 -0.01594058 -0.25794663 0.42815370 0.21409488 0.38258708 0.04069137 -0.33354008 -0.77741116 0.10825430 -0.08685855 0.51136531 -0.05854146 -0.45936793 -0.31557064 0.41288362 0.79916178 -0.31866542 -0.99633839 -0.21143178 0.48320769 -0.27963209 -0.43332279 -0.87168505 0.43539410 -0.66276583 0.41637566 -0.37573742 -0.26725784
wte|15|-0.12536195 -0.04894397 -0.68888684 0.36599567 -0.43058582 -0.67363217 0.12041202 -0.63713975 -0.50348909 -0.62357979 -0.45203496 0.57251718 0.55029915 -0.47854544 -0.14506642 0.44855438 -0.57524952 0.67236511 0.42812598 -0.36876318 -0.26595242 -0.06747207 -1.17192689 -0.20462245 0.51894347 -0.67571233 -0.01202728 0.35775641 -0.02221546 -0.31082015 -0.05522749 0.09908030
wte|16|0.24186259 0.17172469 -0.26799839 -0.02004972 -0.63422923 -0.29805680 -0.05232972 -0.51931870 0.25704178 -0.35615979 -0.22831585 0.20691256 0.43352461 -0.83081211 -0.13291173 0.00426002 0.41145882 1.38192889 0.38072758 0.04342289 0.01779124 -0.27429210 -0.51826528 -0.29636118 0.99575323 -0.61606482 0.66961179 -0.27525755 0.22455675 -0.68132432 -0.13463467 -0.19008520
wte|17|0.17326619 0.66074279 -0.38870473 -0.09348847 -0.31658542 0.00872254 -0.45193694 -0.51518413 0.35587969 -0.35595686 0.05770065 -0.09181563 1.31988635 -0.32645254 0.03960547 0.13678869 -0.48514835 0.97691771 -0.10071984 0.35507527 0.09479179 -0.55016841 0.06459645 -0.48459353 0.80677139 0.00983300 0.48917683 -0.23406185 0.39929316 -0.66391408 0.09496973 0.09870770
wte|18|-0.10531474 0.32102946 -0.27850487 0.40226624 -0.36362725 0.53281987 0.27749715 -0.48124062 0.24069525 0.06831287 -0.07999289 -0.18413356 1.15615196 -0.11228635 -0.14975372 -0.02527555 -0.17937036 0.88945406 0.08765137 0.47126667 -0.48108877 -0.65091000 0.48967921 0.21351368 0.65912420 0.25335979 0.19549710 -0.36328228 0.56019469 -1.01079543 0.46912103 0.57465746
wte|19|-0.19930363 -0.48374199 -0.39163548 0.30638396 -0.65498848 0.34441078 0.18778527 -0.52534656 0.18998189 0.14719278 -0.04951640 0.24224109 0.91061109 -0.05462330 -0.40219343 -0.06048508 -0.42660427 0.58100287 -0.05579311 -0.01480349 -0.83130284 -0.74440205 0.93580045 0.27277322 -0.35136189 -0.22721450 -0.38509694 -0.37706526 0.23895606 -0.93732758 0.42597398 0.59012377
wte|20|-0.16643042 -0.61018543 -0.25869933 -0.32995496 -0.91635637 0.12162061 0.27337226 -0.83724301 0.27947169 0.33398107 -0.19288870 1.07638298 0.50321799 -0.43272314 0.02434000 0.01041434 -0.19602338 0.54393966 0.20217424 -0.65539045 -0.55244899 -0.55028709 0.59765190 0.43039682 0.00697795 -0.91557952 -0.44113539 -0.06500354 -0.16986768 -0.45408539 0.30350240 -0.07554285
